time,date,hour,precip [mm/day],KS_53719235 [m3/s]
324,2001-11-21,00:00:00.00,0,0.238372
325,2001-11-22,00:00:00.00,2.3,0.221883
326,2001-11-23,00:00:00.00,14.4,0.389114
327,2001-11-24,00:00:00.00,0.7,0.611468
328,2001-11-25,00:00:00.00,0,0.498349
329,2001-11-26,00:00:00.00,2.2,0.354703
330,2001-11-27,00:00:00.00,6.8,0.460249
331,2001-11-28,00:00:00.00,1.5,0.546508
332,2001-11-29,00:00:00.00,4.9,0.543145
333,2001-11-30,00:00:00.00,7.5,0.628877
334,2001-12-01,00:00:00.00,0,0.700033
335,2001-12-02,00:00:00.00,0,0.545123
336,2001-12-03,00:00:00.00,0,0.398049
337,2001-12-04,00:00:00.00,0,0.354728
338,2001-12-05,00:00:00.00,6.2,0.38847
339,2001-12-06,00:00:00.00,14.3,0.703364
340,2001-12-07,00:00:00.00,14.3,1.20444
341,2001-12-08,00:00:00.00,0.5,1.33331
342,2001-12-09,00:00:00.00,0,0.997078
343,2001-12-10,00:00:00.00,0,0.718684
344,2001-12-11,00:00:00.00,3.6,0.647085
345,2001-12-12,00:00:00.00,7.6,0.693091
346,2001-12-13,00:00:00.00,7,0.882852
347,2001-12-14,00:00:00.00,0,0.953774
348,2001-12-15,00:00:00.00,0,0.749705
349,2001-12-16,00:00:00.00,2.7,0.573757
350,2001-12-17,00:00:00.00,2.7,0.50311
351,2001-12-18,00:00:00.00,2.4,0.433726
352,2001-12-19,00:00:00.00,0.8,0.380922
353,2001-12-20,00:00:00.00,13.9,0.337802
354,2001-12-21,00:00:00.00,2.8,0.296112
355,2001-12-22,00:00:00.00,12.5,0.263619
356,2001-12-23,00:00:00.00,7.1,0.231832
357,2001-12-24,00:00:00.00,0.5,0.20569
358,2001-12-25,00:00:00.00,3.2,0.181526
359,2001-12-26,00:00:00.00,0.4,0.242829
360,2001-12-27,00:00:00.00,2.1,0.372043
361,2001-12-28,00:00:00.00,5.4,0.40672
362,2001-12-29,00:00:00.00,5.2,0.577263
363,2001-12-30,00:00:00.00,13,0.806485
364,2001-12-31,00:00:00.00,9.2,0.639815
365,2002-01-01,00:00:00.00,5.3,0.422134
366,2002-01-02,00:00:00.00,3.5,0.382292
367,2002-01-03,00:00:00.00,1.8,0.317598
368,2002-01-04,00:00:00.00,0,0.279724
369,2002-01-05,00:00:00.00,0,0.249104
370,2002-01-06,00:00:00.00,0,0.215922
371,2002-01-07,00:00:00.00,6,0.194791
372,2002-01-08,00:00:00.00,0.7,0.186874
373,2002-01-09,00:00:00.00,0,0.194257
374,2002-01-10,00:00:00.00,0,0.167087
375,2002-01-11,00:00:00.00,0,0.136783
376,2002-01-12,00:00:00.00,0,0.121742
377,2002-01-13,00:00:00.00,5.8,0.106329
378,2002-01-14,00:00:00.00,0,0.0941682
379,2002-01-15,00:00:00.00,0,0.0834929
380,2002-01-16,00:00:00.00,0,0.0738704
381,2002-01-17,00:00:00.00,0.3,0.0656221
