time,date,hour,precip [mm/day],KS_53719235 [m3/s]
464,2004-01-08,00:00:00.00,0,0
465,2004-01-09,00:00:00.00,0.2,0
466,2004-01-10,00:00:00.00,5.4,0
467,2004-01-11,00:00:00.00,10,0
468,2004-01-12,00:00:00.00,7.2,0
469,2004-01-13,00:00:00.00,3,0
470,2004-01-14,00:00:00.00,5.4,0
471,2004-01-15,00:00:00.00,4,0
472,2004-01-16,00:00:00.00,5.8,0
473,2004-01-17,00:00:00.00,0.2,0
474,2004-01-18,00:00:00.00,0.2,0
475,2004-01-19,00:00:00.00,5.8,0
476,2004-01-20,00:00:00.00,18.1,0
477,2004-01-21,00:00:00.00,4.7,0
478,2004-01-22,00:00:00.00,5.4,0
479,2004-01-23,00:00:00.00,2.1,0
480,2004-01-24,00:00:00.00,0,0
481,2004-01-25,00:00:00.00,1.7,0
482,2004-01-26,00:00:00.00,3.4,0
483,2004-01-27,00:00:00.00,0,0
484,2004-01-28,00:00:00.00,1.1,0
485,2004-01-29,00:00:00.00,0,0
486,2004-01-30,00:00:00.00,6.3,0
487,2004-01-31,00:00:00.00,3.6,0
488,2004-02-01,00:00:00.00,1.8,0
489,2004-02-02,00:00:00.00,2.6,0
490,2004-02-03,00:00:00.00,15.4,0
491,2004-02-04,00:00:00.00,1.7,0
492,2004-02-05,00:00:00.00,0,0
493,2004-02-06,00:00:00.00,0.2,0
494,2004-02-07,00:00:00.00,0,0
495,2004-02-08,00:00:00.00,4.5,0
496,2004-02-09,00:00:00.00,14,0
497,2004-02-10,00:00:00.00,15.2,0
498,2004-02-11,00:00:00.00,10.6,0
499,2004-02-12,00:00:00.00,4.2,0
500,2004-02-13,00:00:00.00,0.4,0
501,2004-02-14,00:00:00.00,3.8,0
502,2004-02-15,00:00:00.00,0,0
503,2004-02-16,00:00:00.00,0,0
504,2004-02-17,00:00:00.00,0,0
505,2004-02-18,00:00:00.00,2.2,0
506,2004-02-19,00:00:00.00,1.2,0
507,2004-02-20,00:00:00.00,1.7,0
508,2004-02-21,00:00:00.00,0,0
509,2004-02-22,00:00:00.00,0,0
510,2004-02-23,00:00:00.00,0,0
511,2004-02-24,00:00:00.00,1.8,0
512,2004-02-25,00:00:00.00,0,0
513,2004-02-26,00:00:00.00,0,0
